iter	Passed	Remaining
0	0	65
1	1	61
2	1	57
3	2	52
4	2	52
5	3	51
6	3	51
7	4	54
8	5	54
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	33	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
